DATE,LAUST360000000000003A
1976-01-01,10.2
1977-01-01,9.2
1978-01-01,7.7
1979-01-01,7.1
1980-01-01,7.4
1981-01-01,7.6
1982-01-01,8.7
1983-01-01,8.9
1984-01-01,7.2
1985-01-01,6.6
1986-01-01,6.2
1987-01-01,4.8
1988-01-01,4.2
1989-01-01,4.9
1990-01-01,5.3
1991-01-01,7.3
1992-01-01,8.7
1993-01-01,7.9
1994-01-01,6.9
1995-01-01,6.3
1996-01-01,6.2
1997-01-01,6.4
1998-01-01,5.6
1999-01-01,5.2
2000-01-01,4.5
2001-01-01,4.9
2002-01-01,6.2
2003-01-01,6.4
2004-01-01,5.8
2005-01-01,5.0
2006-01-01,4.5
2007-01-01,4.4
2008-01-01,5.4
2009-01-01,8.4
2010-01-01,8.7
2011-01-01,8.3
2012-01-01,8.6
2013-01-01,7.8
2014-01-01,6.3
2015-01-01,5.2
2016-01-01,4.9
2017-01-01,4.6
2018-01-01,4.1
2019-01-01,3.8
2020-01-01,9.9
2021-01-01,6.9
