DATE,LAUST390000000000003A
1976-01-01,7.8
1977-01-01,6.5
1978-01-01,5.5
1979-01-01,5.9
1980-01-01,8.3
1981-01-01,9.6
1982-01-01,12.6
1983-01-01,12.3
1984-01-01,9.5
1985-01-01,8.9
1986-01-01,8.3
1987-01-01,7.1
1988-01-01,6.0
1989-01-01,5.6
1990-01-01,5.8
1991-01-01,6.5
1992-01-01,7.4
1993-01-01,6.7
1994-01-01,5.7
1995-01-01,4.9
1996-01-01,5.0
1997-01-01,4.6
1998-01-01,4.3
1999-01-01,4.3
2000-01-01,4.1
2001-01-01,4.4
2002-01-01,5.8
2003-01-01,6.2
2004-01-01,6.3
2005-01-01,5.9
2006-01-01,5.4
2007-01-01,5.6
2008-01-01,6.6
2009-01-01,10.2
2010-01-01,10.3
2011-01-01,8.8
2012-01-01,7.4
2013-01-01,7.5
2014-01-01,5.8
2015-01-01,5.0
2016-01-01,5.0
2017-01-01,5.0
2018-01-01,4.5
2019-01-01,4.2
2020-01-01,8.2
2021-01-01,5.1
